No. of Epochs,Training Error
407,0.0267076
408,0.0267005
409,0.0266936
410,0.0266866
411,0.0266797
412,0.0266729
413,0.0266661
414,0.0266593
415,0.0266526
416,0.0266459
417,0.0266393
418,0.0266327
419,0.0266262
420,0.0266197
421,0.0266132
422,0.0266068
423,0.0266004
424,0.0265941
425,0.0265878
426,0.0265815
427,0.0265753
428,0.0265691
429,0.0265629
430,0.0265568
431,0.0265507
432,0.0265447
433,0.0265387
434,0.0265327
435,0.0265268
436,0.0265209
437,0.026515
438,0.0265092
439,0.0265034
440,0.0264977
441,0.026492
442,0.0264863
443,0.0264807
444,0.0264751
445,0.0264695
446,0.0264639
447,0.0264584
448,0.026453
449,0.0264475
450,0.0264421
451,0.0264367
452,0.0264314
453,0.0264261
454,0.0264208
455,0.0264155
456,0.0264103
457,0.0264051
458,0.0263999
459,0.0263948
460,0.0263897
461,0.0263846
462,0.0263795
463,0.0263745
464,0.0263695
465,0.0263645
466,0.0263595
467,0.0263546
468,0.0263497
469,0.0263448
470,0.0263399
471,0.0263351
472,0.0263303
473,0.0263255
474,0.0263207
475,0.026316
476,0.0263113
477,0.0263066
478,0.0263019
479,0.0262973
480,0.0262927
481,0.0262881
482,0.0262835
483,0.0262789
484,0.0262744
485,0.0262699
486,0.0262654
487,0.0262609
488,0.0262565
489,0.026252
490,0.0262476
491,0.0262432
492,0.0262389
493,0.0262345
494,0.0262302
495,0.0262259
496,0.0262216
497,0.0262173
498,0.0262131
499,0.0262089
500,0.0262046
501,0.0262005
502,0.0261963
503,0.0261921
504,0.026188
505,0.0261839
506,0.0261798
507,0.0261757
508,0.0261717
509,0.0261676
510,0.0261636
511,0.0261596
512,0.0261556
513,0.0261516
514,0.0261477
515,0.0261438
516,0.0261398
517,0.0261359
518,0.0261321
519,0.0261282
520,0.0261243
521,0.0261205
522,0.0261167
523,0.0261129
524,0.0261091
525,0.0261054
526,0.0261016
527,0.0260979
528,0.0260942
529,0.0260905
530,0.0260868
531,0.0260831
532,0.0260795
533,0.0260758
534,0.0260722
535,0.0260686
536,0.026065
537,0.0260615
538,0.0260579
539,0.0260544
540,0.0260508
541,0.0260473
542,0.0260438
543,0.0260404
544,0.0260369
545,0.0260334
546,0.02603
547,0.0260266
548,0.0260232
549,0.0260198
550,0.0260164
551,0.0260131
552,0.0260097
553,0.0260064
554,0.0260031
555,0.0259998
556,0.0259965
557,0.0259932
558,0.0259899
559,0.0259867
560,0.0259835
561,0.0259803
562,0.025977
563,0.0259739
564,0.0259707
565,0.0259675
566,0.0259644
567,0.0259612
568,0.0259581
569,0.025955
570,0.0259519
571,0.0259488
572,0.0259457
573,0.0259426
574,0.0259396
575,0.0259366
576,0.0259335
577,0.0259305
578,0.0259275
579,0.0259245
580,0.0259215
581,0.0259186
582,0.0259156
583,0.0259126
584,0.0259097
585,0.0259068
586,0.0259039
587,0.025901
588,0.0258981
589,0.0258952
590,0.0258923
591,0.0258895
592,0.0258866
593,0.0258838
594,0.0258809
595,0.0258781
596,0.0258753
597,0.0258725
598,0.0258697
599,0.0258669
600,0.0258642
601,0.0258614
602,0.0258587
603,0.0258559
604,0.0258532
605,0.0258505
606,0.0258477
607,0.025845
608,0.0258424
609,0.0258397
610,0.025837
611,0.0258343
612,0.0258317
613,0.025829
614,0.0258264
615,0.0258238
616,0.0258211
617,0.0258185
618,0.0258159
619,0.0258133
620,0.0258108
621,0.0258082
622,0.0258056
623,0.0258031
624,0.0258005
625,0.025798
626,0.0257954
627,0.0257929
628,0.0257904
629,0.0257879
630,0.0257854
631,0.0257829
632,0.0257804
633,0.0257779
634,0.0257755
635,0.025773
636,0.0257706
637,0.0257681
638,0.0257657
639,0.0257632
640,0.0257608
641,0.0257584
642,0.025756
643,0.0257536
644,0.0257512
645,0.0257488
646,0.0257465
647,0.0257441
648,0.0257417
649,0.0257394
650,0.0257371
651,0.0257347
652,0.0257324
653,0.0257301
654,0.0257277
655,0.0257254
656,0.0257231
657,0.0257208
658,0.0257186
659,0.0257163
660,0.025714
661,0.0257117
662,0.0257095
663,0.0257072
664,0.025705
665,0.0257028
666,0.0257005
667,0.0256983
668,0.0256961
669,0.0256939
670,0.0256917
671,0.0256895
672,0.0256873
673,0.0256851
674,0.0256829
675,0.0256807
676,0.0256786
677,0.0256764
678,0.0256743
679,0.0256721
680,0.02567
681,0.0256679
682,0.0256657
683,0.0256636
684,0.0256615
685,0.0256594
686,0.0256573
687,0.0256552
688,0.0256531
689,0.025651
690,0.0256489
691,0.0256469
692,0.0256448
693,0.0256428
694,0.0256407
695,0.0256387
696,0.0256367
697,0.0256346
698,0.0256326
699,0.0256306
700,0.0256286
701,0.0256266
702,0.0256246
703,0.0256226
704,0.0256206
705,0.0256187
706,0.0256167
707,0.0256147
708,0.0256128
709,0.0256108
710,0.0256089
711,0.0256069
712,0.025605
713,0.025603
714,0.0256011
715,0.0255992
716,0.0255973
717,0.0255954
718,0.0255934
719,0.0255915
720,0.0255896
721,0.0255878
722,0.0255859
723,0.025584
724,0.0255821
725,0.0255802
726,0.0255784
727,0.0255765
728,0.0255747
729,0.0255728
730,0.025571
731,0.0255691
732,0.0255673
733,0.0255655
734,0.0255636
735,0.0255618
736,0.02556
737,0.0255582
738,0.0255564
739,0.0255546
740,0.0255528
741,0.025551
742,0.0255492
743,0.0255474
744,0.0255456
745,0.0255439
746,0.0255421
747,0.0255403
748,0.0255386
749,0.0255368
750,0.0255351
751,0.0255334
752,0.0255316
753,0.0255299
754,0.0255282
755,0.0255264
756,0.0255247
757,0.025523
758,0.0255213
759,0.0255196
760,0.0255179
761,0.0255162
762,0.0255145
763,0.0255128
764,0.0255111
765,0.0255095
766,0.0255078
767,0.0255061
768,0.0255045
769,0.0255028
770,0.0255011
771,0.0254995
772,0.0254978
773,0.0254962
774,0.0254946
775,0.0254929
776,0.0254913
777,0.0254897
778,0.025488
779,0.0254864
780,0.0254848
781,0.0254832
782,0.0254816
783,0.02548
784,0.0254784
785,0.0254768
786,0.0254752
787,0.0254736
788,0.025472
789,0.0254704
790,0.0254689
791,0.0254673
792,0.0254657
793,0.0254642
794,0.0254626
795,0.025461
796,0.0254595
797,0.0254579
798,0.0254564
799,0.0254549
800,0.0254533
801,0.0254518
802,0.0254502
803,0.0254487
804,0.0254472
805,0.0254457
806,0.0254442
807,0.0254426
808,0.0254411
809,0.0254396
810,0.0254381
811,0.0254366
812,0.0254351
813,0.0254336
814,0.0254322
815,0.0254307
816,0.0254292
817,0.0254277
818,0.0254262
819,0.0254248
820,0.0254233
821,0.0254218
822,0.0254204
823,0.0254189
824,0.0254174
825,0.025416
826,0.0254145
827,0.0254131
828,0.0254117
829,0.0254102
830,0.0254088
831,0.0254073
832,0.0254059
833,0.0254045
834,0.0254031
835,0.0254016
836,0.0254002
837,0.0253988
838,0.0253974
839,0.025396
840,0.0253946
841,0.0253932
842,0.0253918
843,0.0253904
844,0.025389
845,0.0253876
846,0.0253862
847,0.0253848
848,0.0253834
849,0.0253821
850,0.0253807
851,0.0253793
852,0.0253779
853,0.0253766
854,0.0253752
855,0.0253738
856,0.0253725
857,0.0253711
858,0.0253698
859,0.0253684
860,0.0253671
861,0.0253657
862,0.0253644
863,0.025363
864,0.0253617
865,0.0253604
866,0.025359
867,0.0253577
868,0.0253564
869,0.025355
870,0.0253537
871,0.0253524
872,0.0253511
873,0.0253498
874,0.0253485
875,0.0253471
876,0.0253458
877,0.0253445
878,0.0253432
879,0.0253419
880,0.0253406
881,0.0253393
882,0.0253381
883,0.0253368
884,0.0253355
885,0.0253342
886,0.0253329
887,0.0253316
888,0.0253304
889,0.0253291
890,0.0253278
891,0.0253265
892,0.0253253
893,0.025324
894,0.0253227
895,0.0253215
896,0.0253202
897,0.025319
898,0.0253177
899,0.0253165
900,0.0253152
901,0.025314
902,0.0253127
903,0.0253115
904,0.0253102
905,0.025309
906,0.0253078
907,0.0253065
908,0.0253053
909,0.0253041
910,0.0253029
911,0.0253016
912,0.0253004
913,0.0252992
914,0.025298
915,0.0252968
916,0.0252955
917,0.0252943
918,0.0252931
919,0.0252919
920,0.0252907
921,0.0252895
922,0.0252883
923,0.0252871
924,0.0252859
925,0.0252847
926,0.0252835
927,0.0252823
928,0.0252812
929,0.02528
930,0.0252788
931,0.0252776
932,0.0252764
933,0.0252752
934,0.0252741
935,0.0252729
936,0.0252717
937,0.0252706
938,0.0252694
939,0.0252682
940,0.0252671
941,0.0252659
942,0.0252647
943,0.0252636
944,0.0252624
945,0.0252613
946,0.0252601
947,0.025259
948,0.0252578
949,0.0252567
950,0.0252555
951,0.0252544
952,0.0252532
953,0.0252521
954,0.025251
955,0.0252498
956,0.0252487
957,0.0252476
958,0.0252464
959,0.0252453
960,0.0252442
961,0.0252431
962,0.0252419
963,0.0252408
964,0.0252397
965,0.0252386
966,0.0252375
967,0.0252364
968,0.0252353
969,0.0252341
970,0.025233
971,0.0252319
972,0.0252308
973,0.0252297
974,0.0252286
975,0.0252275
976,0.0252264
977,0.0252253
978,0.0252242
979,0.0252231
980,0.0252221
981,0.025221
982,0.0252199
983,0.0252188
984,0.0252177
985,0.0252166
986,0.0252155
987,0.0252145
988,0.0252134
