Left_Distance_Reading,Right_Distance_Reading,Left_Motor_Speed,Right_Motor_Speed
0.114045192,0.981428415,0,0.485221605
0.107422667,0.341845359,0,0.448558228
0.058780476,0.220693814,0,0.179298095
0.028189666,0.252883967,0.171031763,0.104354339
0.118784556,0.368310906,0,0.511451919
0.115521833,0.251035118,0,0.493393766
0.061942524,0.337307815,0,0.196804336
0.097680341,0.125627956,0.077100033,0.368526237
0.466703551,0.222827558,0,1
0.111560903,0.931999155,0,0.471467392
0.120299625,0.365239383,0,0.51984194
0.075681961,0.065540659,0.609427465,0.141782645
0.156202837,0.293288589,0,0.718583292
0.122469081,0.352864262,0,0.531848434
0.071522601,0.065060789,0.642033521,0.122538366
0.034220052,0.557178401,0,0.104354339
0.118086124,0.491299429,0,0.507588539
0.037383448,0.320804686,0,0.104354339
0.035651974,0.617587985,0,0.104354339
0.037764126,0.317718324,0,0.104354339
0.11810927,0.362411208,0,0.507714414
0.029762713,0.534205784,0.124766028,0.104354339
0.046677456,0.055663413,0.916998871,0
0.042752031,0.420598018,0,0.104354339
0.116926564,0.348555227,0,0.501168939
0.116840945,0.243529919,0,0.500694488
0.11471531,0.704047644,0,0.488930062
0.127001252,0.372860321,0,0.556936195
0.030460022,0.441543727,0.10426222,0.104354339
0.120261647,0.316477845,0,0.519628922
0.121006822,0.08744314,0.209438896,0.39715785
0.118913996,0.347718348,0,0.512168436
0.11640611,0.555302843,0,0.498288349
0.06978843,0.079933489,0.520796719,0.140398025
0.024222218,0.387841043,0.287710575,0.104354339
0.115820488,0.238256396,0,0.495044659
0.070817652,0.071745135,0.587737723,0.130991325
0.067491108,0.657648359,0,0.22751772
0.120046814,0.376813237,0,0.518442797
0.105477258,0.206383782,0,0.437791115
0.116465661,0.67371821,0,0.498617559
0.116226109,0.549127153,0,0.497291035
0.10235903,0.183529871,0,0.42052694
0.030448111,0.76746643,0.104619429,0.104354339
0.056957315,0.604945775,0,0.169208767
0.028341353,0.277346347,0.166573792,0.104354339
0.109673921,0.122093479,0.081958078,0.424366113
0.112497315,0.961248362,0,0.476652454
0.16432852,0.373625976,0,0.763564069
0.052854135,0.581130344,0,0.146493257
0.023178614,0.187025769,0.318387701,0.104354339
0.115518687,0.346157362,0,0.493374401
0.067967067,0.08226013,0.509508909,0.135876225
0.092949741,0.1068427,0.21098204,0.303957447
0.122777847,0.352199507,0,0.533557422
0.092398276,0.090731301,0.323188592,0.267763679
0.073389133,0.075619112,0.53829997,0.149480356
0.031374411,0.435483775,0.077371512,0.104354339
0.069988207,0.09123877,0.418420564,0.160818746
0.11517419,0.692070189,0,0.491466918
0.103035665,0.163708904,0,0.424274128
0.063867483,0.081203052,0.54110049,0.114961688
0.08148021,0.06401113,0.581850915,0.16455141
0.096379431,0.142042055,0,0.387426781
0.053255936,0.482725874,0,0.148715426
0.03989066,0.623615292,0,0.104354339
0.025397284,0.684722275,0.253147013,0.104354339
0.024899303,0.397987455,0.26779259,0.104354339
0.029130348,0.319771942,0.143369483,0.104354339
0.114701377,0.703454113,0,0.4888526
0.031373063,0.274948482,0.077414377,0.104354339
0.03109733,0.327989378,0.08553017,0.104354339
0.030791036,0.520794952,0.094531842,0.104354339
0.117781178,0.798131208,0,0.505898916
0.028750794,0.410647471,0.154528698,0.104354339
0.118638713,0.312993818,0,0.510648259
0.114953065,0.706421768,0,0.490246903
0.059817563,0.262781096,0,0.185039909
0.085530804,0.132364532,0.040078872,0.316878951
0.113256422,0.99224255,0,0.480854727
0.024460198,0.731465808,0.280694986,0.104354339
0.115695093,0.23857987,0,0.494352349
1,0.328674906,0,1
0.116019141,0.449594974,0,0.496148482
0.114925874,0.703750878,0,0.490096822
0.262479427,0.343073968,0,1
0.035955572,0.584614371,0,0.104354339
0.036124337,0.582243215,0,0.104354339
0.115797791,0.346676701,0,0.494918784
0.033778925,0.362138184,0.006672668,0.104354339
